GEOmeID,NAME,MedianIncome
0500000US18043,"Floyd County, Indiana",80023
0500000US18053,"Grant County, Indiana",52214
0500000US18057,"Hamilton County, Indiana",118777
0500000US18059,"Hancock County, Indiana",93906
0500000US18063,"Hendricks County, Indiana",93440
0500000US18067,"Howard County, Indiana",61267
0500000US18081,"Johnson County, Indiana",92231
0500000US18085,"Kosciusko County, Indiana",70140
0500000US18089,"Lake County, Indiana",69166
0500000US18091,"LaPorte County, Indiana",62868
0500000US18095,"Madison County, Indiana",62012
0500000US18097,"Marion County, Indiana",66582
0500000US18105,"Monroe County, Indiana",58970
0500000US18109,"Morgan County, Indiana",71723
0500000US18127,"Porter County, Indiana",77410
0500000US18141,"St. Joseph County, Indiana",65751
0500000US18157,"Tippecanoe County, Indiana",60762
0500000US18163,"Vanderburgh County, Indiana",60459
0500000US18167,"Vigo County, Indiana",47659
0500000US18173,"Warrick County, Indiana",85260
0500000US18177,"Wayne County, Indiana",51798
0500000US19013,"Black Hawk County, Iowa",59707
0500000US19049,"Dallas County, Iowa",97895
0500000US19061,"Dubuque County, Iowa",71940
0500000US19103,"Johnson County, Iowa",71563
0500000US19113,"Linn County, Iowa",72279
0500000US19153,"Polk County, Iowa",78979
0500000US19155,"Pottawattamie County, Iowa",70640
0500000US19163,"Scott County, Iowa",76822
0500000US19169,"Story County, Iowa",68527
0500000US19193,"Woodbury County, Iowa",64913
0500000US20015,"Butler County, Kansas",74566
0500000US20045,"Douglas County, Kansas",66997
0500000US20091,"Johnson County, Kansas",102702
0500000US20103,"Leavenworth County, Kansas",81921
0500000US20161,"Riley County, Kansas",62623
0500000US20173,"Sedgwick County, Kansas",66646
0500000US20177,"Shawnee County, Kansas",62512
0500000US20209,"Wyandotte County, Kansas",61766
0500000US21015,"Boone County, Kentucky",87550
0500000US21029,"Bullitt County, Kentucky",73901
0500000US21037,"Campbell County, Kentucky",81451
0500000US21047,"Christian County, Kentucky",55458
0500000US21059,"Daviess County, Kentucky",61922
0500000US21067,"Fayette County, Kentucky",66392
0500000US21093,"Hardin County, Kentucky",63502
0500000US21111,"Jefferson County, Kentucky",64542
0500000US21117,"Kenton County, Kentucky",79392
0500000US21145,"McCracken County, Kentucky",60720
0500000US21151,"Madison County, Kentucky",65502
